"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.3309747791,7.6659678509,"inat"
"Dactylorhiza sambucina",46.3309747791,7.6659678509,"inat"
"Dactylorhiza sambucina",46.3309747791,7.6659678509,"inat"
"Dactylorhiza sambucina",46.3260407155,7.6643799832,"inat"
"Dactylorhiza sambucina",46.32909,7.6646780997,"inat"
"Dactylorhiza sambucina",46.3413481997,7.6536664997,"inat"
"Dactylorhiza sambucina",46.3376300028,7.671945,"inat"
"Dactylorhiza sambucina",46.3321916731,7.6669783333,"inat"
"Dactylorhiza sambucina",46.3319283431,7.6673833333,"inat"
"Dactylorhiza sambucina",46.3274954109,7.6631543908,"inat"
"Dactylorhiza sambucina",46.3273,7.6621416667,"inat"
"Dactylorhiza sambucina",46.4302177429,6.1116876602,"inat"
"Dactylorhiza sambucina",46.3358241818,7.6566123962,"inat"
"Dactylorhiza sambucina",46.3568959685,8.020303748,"inat"
"Dactylorhiza sambucina",46.327325,7.6630416667,"inat"
"Dactylorhiza sambucina",46.3293106352,7.7218158471,"inat"
"Dactylorhiza sambucina",46.3247855312,7.7028987181,"inat"
"Dactylorhiza sambucina",46.579267,6.323634,"inat"
"Dactylorhiza sambucina",46.1290393771,7.0438243074,"inat"
"Dactylorhiza sambucina",46.4624159096,8.9230465757,"inat"
"Dactylorhiza sambucina",46.3314632977,9.1177051887,"inat"
"Dactylorhiza sambucina",46.3314234791,9.1177709028,"inat"
"Dactylorhiza sambucina",46.44727,6.1216528333,"inat"
"Dactylorhiza sambucina",46.4613888889,8.9366666667,"inat"
"Dactylorhiza sambucina",46.4858333333,8.9483333333,"inat"
"Dactylorhiza sambucina",46.4465666667,6.0900666667,"inat"
"Dactylorhiza sambucina",46.4465083333,6.0902805,"inat"
"Dactylorhiza sambucina",46.485,8.9477777778,"inat"
"Dactylorhiza sambucina",46.1251440654,7.0799496989,"inat"
"Dactylorhiza sambucina",46.1254881799,7.0796780943,"inat"
"Dactylorhiza sambucina",46.1227955761,7.0706240459,"inat"
"Dactylorhiza sambucina",46.12218205,7.0718702,"inat"
"Dactylorhiza sambucina",46.143399803,7.0593831036,"inat"
"Dactylorhiza sambucina",46.1434142199,7.0593673457,"inat"
"Dactylorhiza sambucina",46.1222120701,7.0719453972,"inat"
"Dactylorhiza sambucina",46.1251075205,7.0811862583,"inat"
