"eco_code","species","latitude","longitude","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation"
97,"Bombus terrestris",46.3278767382,7.0291534827,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",973
97,"Dactylorhiza sambucina",46.53,8.8469444444,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1638
97,"Dactylorhiza sambucina",46.32598,7.8709883333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1552
97,"Dactylorhiza sambucina",46.143399803,7.0593831036,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1109
97,"Dactylorhiza sambucina",46.3012529502,8.0424812453,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1601
97,"Dactylorhiza sambucina",46.3566657,8.6300611,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",834
97,"Dactylorhiza sambucina",46.2268866667,7.43222,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1400
97,"Dactylorhiza sambucina",46.3012529502,8.0424812453,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1601
97,"Dactylorhiza sambucina",46.0606809322,7.0616618706,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1562
97,"Dactylorhiza sambucina",46.1285722217,7.0426666667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",526
97,"Dactylorhiza sambucina",46.072505,7.148829,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",848
97,"Dactylorhiza sambucina",46.1286599636,7.077239011,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",935
97,"Dactylorhiza sambucina",46.460545,6.1103055,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1297
97,"Dactylorhiza sambucina",46.51515,8.73185,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1537
97,"Dactylorhiza sambucina",46.20891,7.34147,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",702
97,"Dactylorhiza sambucina",46.34052,7.6541283333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1817
97,"Bombus terrestris",47.3817837442,8.0298759788,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",396
97,"Dactylorhiza sambucina",46.4314116667,8.65948,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1187
97,"Dactylorhiza sambucina",46.40012,8.64938,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",791
97,"Dactylorhiza sambucina",46.0293936389,7.0881131667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1705
97,"Dactylorhiza sambucina",46.195225,8.1135805556,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1152
97,"Dactylorhiza sambucina",46.1346291422,7.0856291056,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",960
